Samusocial	samusocial	BW()	B-ADVP	O
ontslaat	ontslaan	WW(pv,tgw,met-t)	B-VP	O
31	31	TW(hoofd,prenom,stan)	B-NP	O
mensen	mens	N(soort,mv,basis)	I-NP	O
na	na	VZ(init)	B-PP	O
stopzetting	stopzetting	N(soort,ev,basis,zijd,stan)	B-NP	O
subsidies	subsidie	N(soort,mv,basis)	I-NP	O
Fedasil	Fedasil	N(eigen,ev,basis,zijd,stan)	I-NP	B-LOC
				
De	de	LID(bep)	B-NP	O
Brusselse	Brussels	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
Samusocial	Samusocial	N(eigen,ev,basis,zijd,stan)	I-NP	B-LOC
heeft	hebben	WW(pv,tgw,met-t)	B-VP	O
zijn	zijn	VNW(bez,det,3,ev)	B-NP	O
intentie	intentie	N(soort,ev,basis,zijd,stan)	I-NP	O
bekendgemaakt	bekendmaken	WW(vd,vrij,zonder)	B-VP	O
om	om	VZ(init)	O	O
tot	tot	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
collectief	collectief	ADJ(prenom,basis,zonder)	I-NP	O
ontslag	ontslag	N(soort,ev,basis,onz,stan)	I-NP	O
over	over	VZ(fin)	O	O
te	te	VZ(init)	B-VP	O
gaan	gaan	WW(inf,vrij,zonder)	I-VP	O
van	van	VZ(init)	B-PP	O
26	26	TW(hoofd,prenom,stan)	B-NP	O
werknemers	werknemer	N(soort,mv,basis)	I-NP	O
met	met	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
contract	contract	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
onbepaalde	onbepaald	ADJ(prenom,basis,met-e,stan)	B-NP	O
duur	duur	N(soort,ev,basis,zijd,stan)	I-NP	O
en	en	VG(neven)	O	O
om	om	VZ(init)	B-PP	O
vijf	vijf	TW(hoofd,prenom,stan)	B-NP	O
contracten	contract	N(soort,mv,basis)	I-NP	O
van	van	VZ(init)	B-PP	O
beperkte	beperken	WW(vd,prenom,met-e)	B-NP	O
duur	duur	N(soort,ev,basis,zijd,stan)	I-NP	O
niet	niet	BW()	B-ADVP	O
te	te	VZ(init)	B-VP	O
verlengen	verlengen	WW(inf,vrij,zonder)	I-VP	O
vanaf	vanaf	VZ(init)	B-PP	O
30	30	TW(hoofd,vrij)	B-NP	O
juni	juni	N(eigen,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
meldt	melden	WW(pv,tgw,met-t)	B-VP	O
de	de	LID(bep)	B-NP	O
socialistische	socialistisch	ADJ(prenom,basis,met-e,stan)	I-NP	O
bediendevakbond	bediendevakbond	N(soort,ev,basis,zijd,stan)	I-NP	O
BBTK	BBTK	N(eigen,ev,basis,zijd,stan)	I-NP	O
dinsdag	dinsdag	N(eigen,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
