Eersteklasbegrafenis	eersteklasbegrafenis	N(soort,ev,basis,zijd,stan)	B-NP	O
voor	voor	VZ(init)	B-PP	O
harde	hard	ADJ(prenom,basis,met-e,stan)	B-NP	O
Brexit	Brexit	N(eigen,ev,basis,zijd,stan)	I-NP	B-LOC
				
Kan	kunnen	WW(pv,tgw,ev)	B-VP	O
het	het	LID(bep)	B-NP	O
Verenigd	verenigen	WW(vd,prenom,zonder)	I-NP	B-LOC
Koninkrijk	koninkrijk	N(soort,ev,basis,onz,stan)	I-NP	I-LOC
zich	zich	VNW(refl,pron,3,getal)	O	O
ooit	ooit	BW()	B-AP	O
echt	echt	ADJ(vrij,basis,zonder)	I-AP	O
losmaken	losmaken	WW(inf,vrij,zonder)	B-VP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Europese	Europees	ADJ(prenom,basis,met-e,stan)	I-NP	B-ORG
Unie	unie	N(soort,ev,basis,zijd,stan)	I-NP	I-ORG
?	?	LET()	O	O
				
Zelfs	zelfs	BW()	B-ADVP	O
bij	bij	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
harde	hard	ADJ(prenom,basis,met-e,stan)	I-NP	O
Brexiteers	brexiteer	N(soort,mv,basis)	I-NP	B-MISC
groeit	groeien	WW(pv,tgw,met-t)	B-VP	O
de	de	LID(bep)	B-NP	O
twijfel	twijfel	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
