België	België	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
importeert	importeren	WW(pv,tgw,met-t)	B-VP	O
hout	hout	N(soort,ev,basis,onz,stan)	B-NP	O
waar	waar	VNW(vb,adv-pron,3o,getal)	B-NP	O
bloed	bloed	N(soort,ev,basis,onz,stan)	I-NP	O
aan	aan	VZ(fin)	O	O
kleeft	kleven	WW(pv,tgw,met-t)	B-VP	O
,	,	LET()	O	O
zegt	zeggen	WW(pv,tgw,met-t)	B-VP	O
Greenpeace	Greenpeace	N(eigen,ev,basis,zijd,stan)	B-NP	B-ORG
				
Een	een	LID(onbep)	B-NP	O
Braziliaans	Braziliaans	ADJ(prenom,basis,zonder)	I-NP	B-LOC
bedrijf	bedrijf	N(soort,ev,basis,onz,stan)	I-NP	O
dat	dat	VNW(betr,pron,3,ev)	B-NP	O
betrokken	betrekken	WW(vd,vrij,zonder)	B-VP	O
was	zijn	WW(pv,verl,ev)	I-VP	O
bij	bij	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
moord	moord	N(soort,ev,basis,zijd,stan)	I-NP	O
op	op	VZ(init)	B-PP	O
negen	negen	TW(hoofd,prenom,stan)	B-NP	O
landbouwers	landbouwer	N(soort,mv,basis)	I-NP	O
op	op	VZ(init)	B-PP	O
19	19	TW(hoofd,vrij)	B-NP	O
april	april	N(eigen,ev,basis,zijd,stan)	I-NP	O
,	,	LET()	O	O
heeft	hebben	WW(pv,tgw,met-t)	B-VP	O
hout	hout	N(soort,ev,basis,onz,stan)	B-NP	O
uit	uit	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
Ama­zonewoud	ama­zonewoud	N(soort,ev,basis,onz,stan)	I-NP	B-MISC
geëxporteerd	exporteren	WW(vd,vrij,zonder)	B-VP	O
naar	naar	VZ(init)	B-PP	O
verschillende	verschillend	ADJ(prenom,basis,met-e,stan)	B-NP	O
landen	land	N(soort,mv,basis)	I-NP	O
,	,	LET()	O	O
waaronder	waaronder	BW()	B-ADVP	O
België	België	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
zegt	zeggen	WW(pv,tgw,met-t)	B-VP	O
Greenpeace	Greenpeace	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
in	in	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
nieuw	nieuw	ADJ(prenom,basis,zonder)	I-NP	O
rapport	rapport	N(soort,ev,basis,onz,stan)	I-NP	O
.	.	LET()	O	O
				
