#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.EntitiesLETSpreanno|Namedentitytype
#T_SP=webanno.custom.Nounphrasepreanno|
#T_SP=webanno.custom.Mainclausepreanno|
#T_RL=webanno.custom.Samespanmainclausepreanno|BT_webanno.custom.Mainclausepreanno


#Text=Latijns-Amerika houdt adem in voor ' Trump van de tropen '
1-1	0-15	Latijns-Amerika	LOC	*	*[6]	_
1-2	16-21	houdt	_	_	*[6]	_
1-3	22-26	adem	_	_	*[6]	_
1-4	27-29	in	_	_	*[6]	_
1-5	30-34	voor	_	_	_	_
1-6	35-36	'	_	_	_	_
1-7	37-42	Trump	_	*[1]	_	_
1-8	43-46	van	_	*[1]	_	_
1-9	47-49	de	_	*[1]	_	_
1-10	50-56	tropen	_	*[1]	_	_
1-11	57-58	'	_	_	_	_

#Text=Niemand durft nog uit te sluiten dat een extreemrechtse homohater die dweept met de militaire dictatuur
2-1	60-67	Niemand	_	*	_	_
2-2	68-73	durft	_	_	_	_
2-3	74-77	nog	_	_	_	_
2-4	78-81	uit	_	_	_	_
2-5	82-84	te	_	_	_	_
2-6	85-92	sluiten	_	_	_	_
2-7	93-96	dat	_	_	_	_
2-8	97-100	een	_	*[2]	_	_
2-9	101-115	extreemrechtse	_	*[2]	_	_
2-10	116-125	homohater	_	*[2]	_	_
2-11	126-129	die	_	*[2]	_	_
2-12	130-136	dweept	_	*[2]	_	_
2-13	137-140	met	_	*[2]	_	_
2-14	141-143	de	_	*[2]|*[3]	_	_
2-15	144-153	militaire	_	*[2]|*[3]	_	_
2-16	154-163	dictatuur	_	*[2]|*[3]	_	_

#Text=, in 2018 president van Brazilië wordt .
3-1	165-166	,	_	_	_	_
3-2	167-169	in	_	_	_	_
3-3	170-174	2018	_	*[4]	_	_
3-4	175-184	president	_	*[4]	_	_
3-5	185-188	van	_	*[4]	_	_
3-6	189-197	Brazilië	LOC	*[4]|*[5]	_	_
3-7	198-203	wordt	_	_	_	_
3-8	204-205	.	_	_	_	_
