Groen	groen	ADJ(vrij,basis,zonder)	B-AP	O
wil	willen	WW(pv,tgw,ev)	B-VP	O
alle	al	VNW(onbep,det)	B-NP	O
contacten	contact	N(soort,mv,basis)	I-NP	O
tussen	tussen	VZ(init)	B-PP	O
politici	politicus	N(soort,mv,basis)	B-NP	O
en	en	VG(neven)	O	O
wapenlobbyisten	wapenlobbyist	N(soort,mv,basis)	B-NP	O
in	in	VZ(init)	B-PP	O
kaart	kaart	N(soort,ev,basis,zijd,stan)	B-NP	O
brengen	brengen	WW(inf,vrij,zonder)	B-VP	O
				
Naar	naar	VZ(init)	B-PP	O
aanleiding	aanleiding	N(soort,ev,basis,zijd,stan)	B-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
affaire	affaire	N(soort,ev,basis,zijd,stan)	I-NP	O
met	met	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
F-16-vervangingsdossier	f-16-vervangingsdossier	N(soort,ev,basis,onz,stan)	I-NP	B-MISC
legt	leggen	WW(pv,tgw,met-t)	B-VP	O
Groen	groen	ADJ(nom,basis,zonder,zonder-n)	B-NP	O
opnieuw	opnieuw	BW()	B-ADVP	O
het	het	LID(bep)	B-NP	O
transparantieregister	transparantieregister	N(soort,ev,basis,onz,stan)	I-NP	O
op	op	VZ(init)	B-PP	O
tafel	tafel	N(soort,ev,basis,zijd,stan)	B-NP	O
,	,	LET()	O	O
waarin	waarin	BW()	B-ADVP	O
alle	al	VNW(onbep,det)	B-NP	O
contacten	contact	N(soort,mv,basis)	I-NP	O
tussen	tussen	VZ(init)	B-PP	O
wapenlobbyisten	wapenlobbyist	N(soort,mv,basis)	B-NP	O
en	en	VG(neven)	O	O
politici	politicus	N(soort,mv,basis)	B-NP	O
verplicht	verplichten	WW(vd,vrij,zonder)	B-VP	O
worden	worden	WW(inf,vrij,zonder)	I-VP	O
geregistreerd	registreren	WW(vd,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
kondigt	kondigen	WW(pv,tgw,met-t)	B-VP	O
Kamerlid	kamerlid	N(soort,ev,basis,onz,stan)	B-NP	B-MISC
Wouter	Wouter	SPEC(deeleigen)	I-NP	B-PER
De	De	SPEC(deeleigen)	I-NP	I-PER
Vriendt	Vriendt	SPEC(deeleigen)	I-NP	I-PER
donderdag	donderdag	N(eigen,ev,basis,zijd,stan)	I-NP	O
aan	aan	VZ(fin)	O	O
in	in	VZ(init)	B-PP	O
De	De	SPEC(deeleigen)	B-NP	B-LOC
Ochtend	Ochtend	SPEC(deeleigen)	I-NP	I-LOC
.	.	LET()	O	O
				
De	de	LID(bep)	B-NP	O
partij	partij	N(soort,ev,basis,zijd,stan)	I-NP	O
legde	leggen	WW(pv,verl,ev)	B-VP	O
het	het	LID(bep)	B-NP	O
wetsvoorstel	wetsvoorstel	N(soort,ev,basis,onz,stan)	I-NP	O
vorig	vorig	ADJ(prenom,basis,zonder)	B-NP	O
jaar	jaar	N(soort,ev,basis,onz,stan)	I-NP	O
al	al	BW()	B-ADVP	O
eens	eens	BW()	B-ADVP	O
voor	voor	VZ(fin)	O	O
,	,	LET()	O	O
maar	maar	VG(neven)	O	O
ving	ving	N(soort,ev,basis,zijd,stan)	B-NP	O
toen	toen	BW()	B-NP	O
bot	bot	N(soort,ev,basis,onz,stan)	I-NP	O
.	.	LET()	O	O
				
