Michel	Michel	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
mikt	mikken	WW(pv,tgw,met-t)	B-VP	O
op	op	VZ(init)	B-PP	O
akkoord	akkoord	N(soort,ev,basis,onz,stan)	B-NP	O
over	over	VZ(init)	B-PP	O
mobiliteitsbudget	mobiliteitsbudget	N(soort,ev,basis,onz,stan)	B-NP	O
				
Bij	bij	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
diner	diner	N(soort,ev,basis,zijd,stan)	I-NP	O
probeerde	proberen	WW(pv,verl,ev)	B-VP	O
premier	premier	N(soort,ev,basis,zijd,stan)	B-NP	O
Charles	Charles	SPEC(deeleigen)	I-NP	B-PER
Michel	Michel	SPEC(deeleigen)	I-NP	I-PER
(	(	LET()	O	O
MR	MR	SPEC(afk)	O	B-ORG
)	)	LET()	O	O
gisterenavond	gisterenavond	BW()	B-ADVP	O
een	een	LID(onbep)	B-NP	O
akkoord	akkoord	N(soort,ev,basis,onz,stan)	I-NP	O
te	te	VZ(init)	B-VP	O
bereiken	bereiken	WW(inf,vrij,zonder)	I-VP	O
over	over	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
mobiliteitsbudget	mobiliteitsbudget	N(soort,ev,basis,onz,stan)	I-NP	O
en	en	VG(neven)	O	O
een	een	LID(onbep)	B-NP	O
regeling	regeling	N(soort,ev,basis,zijd,stan)	I-NP	O
over	over	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
zware	zwaar	ADJ(prenom,basis,met-e,stan)	I-NP	O
beroepen	beroep	N(soort,mv,basis)	I-NP	O
.	.	LET()	O	O
				
