Ook	ook	BW()	B-ADVP	O
VS	VS	N(eigen,mv,basis)	B-NP	B-LOC
en	en	VG(neven)	O	O
Frankrijk	Frankrijk	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
kiezen	kiezen	WW(pv,tgw,mv)	B-VP	O
kant	kant	N(soort,ev,basis,zijd,stan)	B-NP	O
van	van	VZ(init)	B-PP	O
Britten	Brit	N(soort,mv,basis)	B-NP	B-LOC
na	na	VZ(init)	B-PP	O
vergiftiging	vergiftiging	N(soort,ev,basis,zijd,stan)	B-NP	O
spion	spion	N(soort,ev,basis,zijd,stan)	I-NP	O
				
Rusland	Rusland	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
is	zijn	WW(pv,tgw,ev)	B-VP	O
verantwoordelijk	verantwoordelijk	ADJ(vrij,basis,zonder)	B-AP	O
voor	voor	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
vergiftiging	vergiftiging	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
vroegere	vroeg	ADJ(prenom,comp,met-e,stan)	I-NP	O
Russische	Russisch	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
spion	spion	N(soort,ev,basis,zijd,stan)	I-NP	O
Sergej	Sergej	SPEC(deeleigen)	I-NP	B-PER
Skripal	Skripal	SPEC(deeleigen)	I-NP	I-PER
in	in	VZ(init)	B-PP	O
Groot-Brittannië	Groot-Brittannië	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
heeft	hebben	WW(pv,tgw,met-t)	B-VP	O
de	de	LID(bep)	B-NP	O
Amerikaanse	Amerikaans	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
VN-ambassadrice	VN-ambassadrice	N(soort,ev,basis,zijd,stan)	I-NP	B-MISC
Nikki	Nikki	SPEC(deeleigen)	I-NP	B-PER
Haley	Haley	SPEC(deeleigen)	I-NP	I-PER
woensdag	woensdag	N(eigen,ev,basis,zijd,stan)	I-NP	O
tijdens	tijdens	VZ(init)	O	O
een	een	LID(onbep)	O	O
door	door	VZ(init)	B-PP	O
Londen	Londen	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
gevraagde	vragen	WW(vd,prenom,met-e)	I-NP	O
spoedzitting	spoedzitting	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Veiligheidsraad	veiligheidsraad	N(soort,ev,basis,zijd,stan)	I-NP	B-ORG
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Verenigde	verenigen	WW(vd,prenom,met-e)	I-NP	B-ORG
Naties	natie	N(soort,mv,basis)	I-NP	I-ORG
gezegd	zeggen	WW(vd,vrij,zonder)	B-VP	O
.	.	LET()	O	O
				
