In	in	VZ(init)	B-PP	O
Griekse	Grieks	ADJ(prenom,basis,met-e,stan)	B-NP	B-LOC
crisis	crisis	N(soort,ev,basis,zijd,stan)	I-NP	O
was	zijn	WW(pv,verl,ev)	B-VP	O
Van	Van	SPEC(deeleigen)	B-NP	B-PER
Overtveldt	Overtveldt	SPEC(deeleigen)	I-NP	I-PER
meeloper	meeloper	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
Eurogroep	Eurogroep	N(eigen,ev,basis,zijd,stan)	B-NP	B-ORG
				
Jullie	jullie	VNW(pers,pron,2v,mv)	B-NP	O
minister	minister	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
Financiën	financiën	N(soort,mv,basis)	B-NP	B-MISC
was	zijn	WW(pv,verl,ev)	B-VP	O
één	één	TW(hoofd,nom,zonder-n,basis)	B-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
grijze	grijs	ADJ(prenom,basis,met-e,stan)	I-NP	O
heren	heer	N(soort,mv,basis)	I-NP	O
die	die	VNW(betr,pron,persoon,getal)	B-NP	O
met	met	VZ(init)	B-PP	O
alles	alles	VNW(onbep,pron,3o,ev)	B-NP	O
instemde	instemmen	WW(pv,verl,ev)	B-VP	O
.	.	LET()	O	O
				
Het	het	VNW(pers,pron,3,ev,onz)	B-NP	O
was	zijn	WW(pv,verl,ev)	B-VP	O
zoals	zoals	VG(onder)	O	O
in	in	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
Politbureau	politbureau	N(soort,ev,basis,onz,stan)	I-NP	B-MISC
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Sovjet-Unie	Sovjet-Unie	N(eigen,ev,basis,zijd,stan)	I-NP	B-LOC
.	.	LET()	O	O
				
Ook	ook	BW()	B-ADVP	O
daar	daar	VNW(aanw,adv-pron,3o,getal)	B-NP	O
zaten	zitten	WW(pv,verl,mv)	B-VP	O
alleen	alleen	BW()	B-ADVP	O
maar	maar	BW()	B-ADVP	O
grijze	grijs	ADJ(prenom,basis,met-e,stan)	B-NP	O
mensen	mens	N(soort,mv,basis)	I-NP	O
die	die	VNW(betr,pron,persoon,getal)	O	O
alles	alles	VNW(onbep,pron,3o,ev)	O	O
goedkeurden	goedkeuren	WW(pv,verl,mv)	B-VP	O
wat	wat	VNW(vb,pron,3o,ev)	B-NP	O
de	de	LID(bep)	B-NP	O
leiding	leiding	N(soort,ev,basis,zijd,stan)	I-NP	O
zei	zeggen	WW(pv,verl,ev)	B-VP	O
.	.	LET()	O	O
				
Jullie	jullie	VNW(pers,pron,2v,mv)	B-NP	O
minister	minister	N(soort,ev,basis,zijd,stan)	I-NP	O
ging	gaan	WW(pv,verl,ev)	B-VP	O
op	op	VZ(fin)	O	O
in	in	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
grijsheid	grijsheid	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
eurogroep	eurogroep	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
zegt	zeggen	WW(pv,tgw,met-t)	B-VP	O
Yanis	Yanis	SPEC(deeleigen)	B-NP	B-PER
Varoufakis	Varoufakis	SPEC(deeleigen)	I-NP	I-PER
in	in	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
interview	interview	N(soort,ev,basis,onz,stan)	I-NP	O
met	met	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
VRT	VRT	N(eigen,ev,basis,zijd,stan)	I-NP	B-ORG
,	,	LET()	O	O
doelend	doelen	WW(od,vrij,zonder)	B-VP	O
op	op	VZ(init)	B-PP	O
minister	minister	N(soort,ev,basis,zijd,stan)	B-NP	O
Johan	Johan	SPEC(deeleigen)	I-NP	B-PER
Van	Van	SPEC(deeleigen)	I-NP	I-PER
Overtveldt	Overtveldt	SPEC(deeleigen)	I-NP	I-PER
(	(	LET()	O	O
N-VA	N-VA	N(eigen,ev,basis,zijd,stan)	B-NP	B-ORG
)	)	LET()	O	O
.	.	LET()	O	O
				
