Ook	ook	BW()	B-ADVP	O
Waalse	Waals	ADJ(prenom,basis,met-e,stan)	B-NP	B-LOC
minister	minister	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
Dierenwelzijn	Dierenwelzijn	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
wil	willen	WW(pv,tgw,ev)	B-VP	O
dwangvoederen	dwangvoederen	WW(inf,vrij,zonder)	I-VP	O
verbieden	verbieden	WW(inf,vrij,zonder)	I-VP	O
				
Tegen	tegen	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
einde	einde	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
deze	deze	VNW(aanw,det)	B-NP	O
regeerperiode	regeerperiode	N(soort,ev,basis,zijd,stan)	I-NP	O
,	,	LET()	O	O
volgend	volgen	WW(od,prenom,zonder)	B-NP	O
jaar	jaar	N(soort,ev,basis,onz,stan)	I-NP	O
,	,	LET()	O	O
wil	willen	WW(pv,tgw,ev)	B-VP	O
de	de	LID(bep)	B-NP	O
Waalse	Waals	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
minister	minister	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
Dierenwelzijn	Dierenwelzijn	SPEC(deeleigen)	B-NP	B-PER
Carlo	Carlo	SPEC(deeleigen)	I-NP	I-PER
Di	Di	SPEC(deeleigen)	I-NP	I-PER
Antonio	Antonio	SPEC(deeleigen)	I-NP	I-PER
(	(	LET()	O	O
CDH	CDH	SPEC(afk)	O	B-ORG
)	)	LET()	O	O
werk	werk	N(soort,ev,basis,onz,stan)	B-NP	O
gemaakt	maken	WW(vd,vrij,zonder)	B-VP	O
hebben	hebben	WW(inf,vrij,zonder)	I-VP	O
van	van	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
verbod	verbod	N(soort,ev,basis,onz,stan)	I-NP	O
op	op	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
dwangvoederen	dwangvoederen	WW(inf,nom,zonder,zonder-n)	I-NP	O
van	van	VZ(init)	B-PP	O
ganzen	gans	N(soort,mv,basis)	B-NP	O
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
schrijft	schrijven	WW(pv,tgw,met-t)	B-VP	O
La	La	SPEC(deeleigen)	B-NP	B-PER
Dernière	Dernière	SPEC(deeleigen)	I-NP	I-PER
Heure	Heure	SPEC(deeleigen)	I-NP	I-PER
dinsdag	dinsdag	N(eigen,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
