Vlaamse	Vlaams	ADJ(prenom,basis,met-e,stan)	B-NP	B-LOC
partijen	partij	N(soort,mv,basis)	I-NP	O
feliciteren	feliciteren	WW(pv,tgw,mv)	B-VP	O
hun	hun	VNW(bez,det,3,mv)	B-NP	O
Duitse	Duits	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
tegenhangers	tegenhanger	N(soort,mv,basis)	I-NP	O
				
CD	CD	N(soort,ev,basis,zijd,stan)	B-NP	O
&	&	SPEC(symb)	I-NP	O
V	V	SPEC(symb)	I-NP	O
,	,	LET()	O	O
Open	Open	SPEC(deeleigen)	B-NP	B-PER
VLD	VLD	SPEC(deeleigen)	I-NP	I-PER
,	,	LET()	O	O
Vlaams	Vlaams	ADJ(prenom,basis,zonder)	B-NP	B-ORG
Belang	belang	N(soort,ev,basis,onz,stan)	I-NP	I-ORG
en	en	VG(neven)	O	O
Groen	groen	ADJ(nom,basis,zonder,zonder-n)	B-NP	O
hebben	hebben	WW(pv,tgw,mv)	B-VP	O
zondagavond	zondagavond	N(soort,ev,basis,zijd,stan)	B-NP	O
al	al	BW()	B-ADVP	O
gereageerd	reageren	WW(vd,vrij,zonder)	B-VP	O
op	op	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
resultaat	resultaat	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
verkiezingen	verkiezing	N(soort,mv,basis)	I-NP	O
in	in	VZ(init)	B-PP	O
Duitsland	Duitsland	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
.	.	LET()	O	O
				
Ze	ze	VNW(pers,pron,3,mv)	B-NP	O
feliciteren	feliciteren	WW(pv,tgw,mv)	B-VP	O
hun	hun	VNW(bez,det,3,mv)	B-NP	O
Duitse	Duits	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
tegenhangers	tegenhanger	N(soort,mv,basis)	I-NP	O
met	met	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
behaalde	behalen	WW(vd,prenom,met-e)	I-NP	O
uitslag	uitslag	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
